,countries,cost_living_index
0,Bermuda,146.2
1,Switzerland,122.1
2,Iceland,111.7
3,Norway,106.3
4,Bahamas,104.0
5,Us Virgin Islands,85.9
6,Japan,85.3
7,Italy,83.7
8,Denmark,83.0
9,Singapore,82.4
10,New Zealand,80.8
11,Australia,80.7
12,Hong Kong,80.0
13,Israel,77.7
14,Luxembourg,77.3
15,Ireland,77.0
16,Sweden,75.9
17,United States,75.4
18,South Korea,75.4
19,Belgium,75.4
20,Kuwait,75.2
21,France,74.9
22,Finland,73.1
23,Netherlands,72.5
24,Austria,71.5
25,Uruguay,70.3
26,Canada,70.2
27,Puerto Rico,69.6
28,United Kingdom,69.5
29,Qatar,69.2
30,United Arab Emirates,68.0
31,Germany,65.5
32,Malta,62.8
33,Macao,62.6
34,Lebanon,61.7
35,Taiwan,61.4
36,Ghana,60.5
37,Jordan,59.2
38,Costa Rica,58.6
39,Bahrain,57.8
40,Jamaica,56.9
41,Panama,56.9
42,Trinidad And Tobago,56.2
43,Greece,55.9
44,Belize,55.8
45,Mongolia,55.6
46,Spain,55.0
47,Cyprus,54.1
48,Palestine,53.5
49,Slovenia,53.2
50,Fiji,53.1
51,Brazil,53.1
52,Oman,52.6
53,Argentina,52.6
54,Dominican Republic,52.1
55,Zimbabwe,51.6
56,Mauritius,50.4
57,Chile,50.1
58,Estonia,49.5
59,Portugal,49.2
60,Tanzania,48.5
61,Saudi Arabia,48.4
62,Croatia,48.0
63,Latvia,47.8
64,Honduras,47.4
65,Iraq,47.0
66,Cambodia,46.8
67,Lithuania,46.7
68,Namibia,46.5
69,Ecuador,46.1
70,Guatemala,46.0
71,El Salvador,45.9
72,Libya,45.8
73,Ethiopia,45.7
74,Slovakia,44.9
75,China,44.8
76,Zambia,44.7
77,Thailand,43.7
78,South Africa,43.1
79,Hungary,42.8
80,Russia,42.0
81,Czech Republic,41.2
82,Indonesia,41.1
83,Malaysia,40.2
84,Vietnam,40.1
85,Peru,39.5
86,Montenegro,39.3
87,Kenya,39.0
88,Bolivia,38.7
89,Turkey,38.6
90,Venezuela,38.3
91,Iran,38.3
92,Poland,38.1
93,Nigeria,36.8
94,Bulgaria,36.5
95,Bangladesh,36.1
96,Romania,35.6
97,Morocco,35.5
98,Bosnia And Herzegovina,35.0
99,Philippines,34.7
100,Colombia,34.4
101,Uganda,34.1
102,Armenia,33.9
103,Belarus,33.8
104,Serbia,33.8
105,Sri Lanka,33.5
106,Albania,32.4
107,Algeria,32.4
108,North Macedonia,30.9
109,Kazakhstan,30.7
110,Nepal,30.0
111,Mexico,29.8
112,Tunisia,28.7
113,Moldova,28.4
114,Syria,28.3
115,Azerbaijan,27.8
116,Georgia,27.4
117,Pakistan,27.2
118,Ukraine,26.2
119,India,25.1
120,Egypt,22.4
