,countries,cost_living_index
0,Bermuda,145.1
1,Switzerland,131.7
2,Norway,106.1
3,Iceland,96.8
4,Denmark,91.7
5,Luxembourg,88.3
6,Japan,87.8
7,Israel,86.6
8,Bahamas,85.8
9,Singapore,85.6
10,Australia,84.1
11,Ireland,83.1
12,Barbados,81.5
13,South Korea,81.2
14,France,80.6
15,Hong Kong,79.9
16,Sweden,79.2
17,New Zealand,79.1
18,Seychelles,78.9
19,Netherlands,78.6
20,Belgium,78.5
21,Finland,77.5
22,Lebanon,75.9
23,Austria,75.5
24,Malta,73.6
25,Italy,73.1
26,United States,71.9
27,United Kingdom,71.0
28,Germany,70.6
29,Canada,70.1
30,Macao,69.6
31,Puerto Rico,69.5
32,Taiwan,65.2
33,Qatar,64.2
34,Cyprus,64.0
35,United Arab Emirates,61.7
36,Greece,61.0
37,Slovenia,59.4
38,Spain,59.1
39,Bahrain,57.7
40,Estonia,56.5
41,Croatia,56.4
42,Palestine,55.9
43,Cuba,55.5
44,Trinidad And Tobago,55.5
45,Ivory Coast,54.6
46,Ethiopia,54.3
47,Panama,54.1
48,Jamaica,53.2
49,Portugal,52.9
50,Latvia,52.9
51,Mauritius,52.6
52,Belize,52.4
53,Jordan,52.2
54,Suriname,51.9
55,Zimbabwe,51.5
56,Yemen,51.5
57,Uruguay,51.1
58,Costa Rica,50.6
59,Oman,50.2
60,Saudi Arabia,49.9
61,Kuwait,49.4
62,Brunei,49.4
63,Chile,49.3
64,Thailand,49.3
65,Czech Republic,49.2
66,Slovakia,49.1
67,Fiji,48.5
68,Cambodia,47.9
69,Lithuania,47.7
70,Guatemala,44.8
71,El Salvador,44.6
72,Nicaragua,42.8
73,Hungary,42.7
74,Cameroon,42.6
75,China,42.5
76,Honduras,42.2
77,Poland,42.0
78,South Africa,41.7
79,Dominican Republic,41.5
80,Montenegro,41.4
81,Iran,41.3
82,Namibia,41.0
83,Bulgaria,40.9
84,Philippines,40.7
85,Ghana,40.6
86,Botswana,40.4
87,Albania,40.2
88,Ecuador,40.1
89,Malaysia,39.5
90,Serbia,39.2
91,Bosnia And Herzegovina,38.6
92,Romania,38.5
93,Myanmar,38.1
94,Vietnam,38.0
95,Argentina,37.9
96,Indonesia,37.4
97,Somalia,37.4
98,Morocco,36.9
99,Kenya,36.3
100,Peru,36.3
101,Bolivia,36.1
102,Mozambique,35.9
103,Mexico,35.1
104,Tanzania,34.6
105,North Macedonia,34.1
106,Rwanda,34.1
107,Bangladesh,33.3
108,Mongolia,33.2
109,Russia,33.2
110,Iraq,32.7
111,Moldova,32.7
112,Uganda,32.2
113,Brazil,31.8
114,Armenia,31.7
115,Turkey,31.5
116,Sri Lanka,31.3
117,Colombia,31.0
118,Azerbaijan,30.9
119,Paraguay,30.7
120,Belarus,30.7
121,Egypt,30.1
122,Kazakhstan,29.8
123,Nigeria,29.7
124,Tunisia,29.5
125,Kosovo (Disputed Territory),29.4
126,Ukraine,29.2
127,Syria,29.0
128,Nepal,28.9
129,Algeria,28.3
130,Zambia,28.1
131,Georgia,28.0
132,Uzbekistan,27.1
133,Afghanistan,26.3
134,India,25.2
135,Kyrgyzstan,23.0
136,Libya,22.3
137,Pakistan,21.6
