,countries,cost_living_index
0,Switzerland,121.2
1,Iceland,101.9
2,Norway,101.0
3,Bahamas,92.4
4,Luxembourg,86.1
5,Japan,83.3
6,Denmark,81.4
7,Hong Kong,78.1
8,South Korea,76.9
9,Ireland,75.3
10,France,74.9
11,Netherlands,74.8
12,Israel,74.3
13,Belgium,73.0
14,Finland,72.8
15,New Zealand,72.6
16,Australia,72.1
17,Austria,71.8
18,Sweden,71.6
19,United States,69.9
20,Singapore,69.8
21,Italy,69.2
22,Germany,67.6
23,United Kingdom,65.3
24,Canada,65.0
25,Puerto Rico,63.8
26,Malta,63.3
27,Taiwan,59.8
28,Qatar,59.1
29,Jamaica,58.8
30,Lebanon,58.1
31,Uruguay,57.3
32,Bahrain,56.7
33,Greece,56.7
34,United Arab Emirates,56.2
35,Cyprus,55.6
36,Jordan,55.0
37,Spain,54.7
38,Slovenia,52.5
39,Mauritius,52.4
40,Myanmar,52.4
41,Trinidad And Tobago,52.1
42,Zimbabwe,51.6
43,Kuwait,51.5
44,Panama,51.4
45,Ghana,51.1
46,Estonia,51.0
47,Fiji,50.9
48,Costa Rica,50.9
49,Portugal,50.4
50,Palestine,50.2
51,Belize,49.4
52,Latvia,49.2
53,Croatia,49.2
54,Chile,47.7
55,Saudi Arabia,47.6
56,Thailand,47.5
57,Cambodia,46.8
58,Oman,46.2
59,El Salvador,46.1
60,Lithuania,45.9
61,Nicaragua,45.8
62,Czech Republic,45.1
63,Slovakia,45.0
64,Dominican Republic,44.9
65,Namibia,43.2
66,Brazil,42.8
67,South Africa,42.5
68,Honduras,42.1
69,Hungary,42.0
70,Ecuador,42.0
71,Guatemala,41.7
72,Cuba,40.5
73,Iraq,39.6
74,Montenegro,39.6
75,Malaysia,39.4
76,China,39.2
77,Poland,39.1
78,Kenya,38.2
79,Vietnam,37.7
80,Bulgaria,37.2
81,Peru,37.2
82,Romania,36.5
83,Indonesia,36.2
84,Albania,36.2
85,Iran,35.8
86,Bosnia And Herzegovina,35.7
87,Russia,35.5
88,Serbia,35.4
89,Turkey,35.2
90,Philippines,35.1
91,Tanzania,34.7
92,Bolivia,34.4
93,Morocco,34.0
94,Belarus,33.1
95,Argentina,33.1
96,Mexico,32.7
97,Armenia,32.5
98,Paraguay,32.3
99,Moldova,32.3
100,Bangladesh,31.8
101,North Macedonia,31.6
102,Nigeria,31.2
103,Algeria,30.6
104,Uganda,30.3
105,Sri Lanka,30.2
106,Colombia,30.1
107,Kazakhstan,29.8
108,Nepal,29.6
109,Azerbaijan,29.1
110,Georgia,28.8
111,Ukraine,27.9
112,Uzbekistan,27.1
113,Egypt,26.5
114,Kosovo (Disputed Territory),26.2
115,Venezuela,25.7
116,India,24.2
117,Tunisia,23.7
118,Pakistan,20.4
