,0
1,"España [+] 2019 360.617 185.523 175.094 7,62‰ 1,24 -2,24%"
2,"Alemania [+] 2019 778.090 399.292 378.798 9,40‰ 1,54 -1,91%"
3,"Reino Unido [+] 2019 712.699 375.379 355.539 10,70‰ 1,63 -2,98%"
4,"Francia [+] 2019 754.008 385.340 368.668 11,20‰ 1,86 -0,53%"
5,"Italia [+] 2019 420.084 215.387 204.697 7,00‰ 1,27 -1,55%"
6,"Portugal [+] 2019 86.579 44.539 42.040 8,40‰ 1,43 0,70%"
7,"Estados Unidos [+] 2019 11,40‰ 1,71 -1,36%"
8,"Japón [+] 2019 7,00‰ 1,36 -4,23%"
9,"China [+] 2019 10,41‰ 1,70 0,36%"
10,"Andorra [+] 2019 539 293 250 7,00‰ 1,27 6,72%"
11,"Emiratos Árabes Unidos [+] 2019 10,22‰ 1,39 -1,84%"
12,"Afganistán [+] 2019 31,80‰ 4,32 -3,40%"
13,"Antigua y Barbuda [+] 2019 15,11‰ 1,99 -0,35%"
14,"Albania [+] 2019 28.561 14.893 13.668 10,00‰ 1,60 16,57%"
15,"Armenia [+] 2019 36.041 19.252 17.322 12,20‰ 1,60 1,91%"
16,"Angola [+] 2019 40,23‰ 5,44 -1,40%"
17,"Argentina [+] 2019 16,83‰ 2,25 -0,62%"
18,"Austria [+] 2019 84.952 43.580 41.372 9,60‰ 1,46 -0,68%"
19,"Australia [+] 2019 12,10‰ 1,66 -4,77%"
20,"Azerbaiyán [+] 2019 141.179 75.160 66.019 14,10‰ 1,81 4,62%"
21,"Bosnia y Herzegovina [+] 2019 29.467 16.790 15.757 7,94‰ 1,25 -0,87%"
22,"Barbados [+] 2019 10,62‰ 1,62 0,25%"
23,"Bangladés [+] 2019 17,87‰ 2,01 -1,23%"
24,"Bélgica [+] 2019 117.695 59.912 57.783 10,20‰ 1,60 -1,23%"
25,"Burkina Faso [+] 2019 37,45‰ 5,11 -1,54%"
