,0
1,"España [+] 2020 341.315 174.842 166.473 7,19‰ 1,19 -4,03%"
2,"Alemania [+] 2020 773.144 397.385 375.759 9,30‰ 1,53 -0,65%"
3,"Reino Unido [+] 2020 712.699 375.379 355.539 10,20‰ 1,56 -4,29%"
4,"Francia [+] 2020 735.775 376.187 359.588 10,90‰ 1,83 -1,61%"
5,"Italia [+] 2020 404.892 208.431 196.461 6,80‰ 1,24 -2,36%"
6,"Portugal [+] 2020 84.530 43.451 41.079 8,20‰ 1,41 -1,40%"
7,"Estados Unidos [+] 2020 10,90‰ 1,64 -4,02%"
8,"Japón [+] 2020 6,80‰ 1,34 -1,47%"
9,"China [+] 2020 8,52‰ 1,70 0,24%"
10,"Andorra [+] 2019 539 293 250 7,00‰ 1,27 6,72%"
11,"Emiratos Árabes Unidos [+] 2020 10,13‰ 1,37 -1,30%"
12,"Afganistán [+] 2020 31,15‰ 4,18 -3,36%"
13,"Antigua y Barbuda [+] 2020 14,88‰ 1,98 -0,45%"
14,"Albania [+] 2020 28.075 14.486 13.589 9,90‰ 1,34 -16,09%"
15,"Armenia [+] 2020 36.353 19.054 17.299 12,30‰ 1,76 10,00%"
16,"Angola [+] 2020 39,79‰ 5,37 -1,30%"
17,"Argentina [+] 2020 16,64‰ 2,23 -0,62%"
18,"Austria [+] 2020 83.603 42.934 40.669 9,40‰ 1,44 -1,37%"
19,"Australia [+] 2020 11,50‰ 1,58 -4,59%"
20,"Azerbaiyán [+] 2020 126.571 67.407 59.164 12,50‰ 1,70 -6,08%"
21,"Bosnia y Herzegovina [+] 2020 29.467 16.790 15.757 7,78‰ 1,24 -0,88%"
22,"Barbados [+] 2020 10,60‰ 1,63 0,31%"
23,"Bangladés [+] 2020 17,55‰ 1,99 -1,19%"
24,"Bélgica [+] 2020 114.350 58.507 55.843 9,90‰ 1,55 -3,13%"
25,"Burkina Faso [+] 2020 36,99‰ 5,03 -1,57%"
26,"Bulgaria [+] 2020 59.086 30.372 28.714 8,50‰ 1,56 -1,27%"
27,"Baréin [+] 2020 13,27‰ 1,94 -1,12%"
28,"Burundi [+] 2020 37,77‰ 5,24 -1,58%"
29,"Benin [+] 2020 35,45‰ 4,70 -1,41%"
30,"Brunéi [+] 2020 14,08‰ 1,80 -1,26%"
31,"Bolivia [+] 2020 21,19‰ 2,65 -1,38%"
32,"Brasil [+] 2020 13,46‰ 1,71 -0,76%"
33,"Bahamas [+] 2020 13,79‰ 1,73 -0,57%"
34,"Bután [+] 2020 16,71‰ 1,93 -1,18%"
35,"Botsuana [+] 2020 23,65‰ 2,80 -1,41%"
36,"Bielorrusia [+] 2020 87.602 48.240 45.802 9,30‰ 1,38 0"
37,"Belice [+] 2020 20,25‰ 2,25 -1,23%"
38,"Canadá [+] 2020 388.729 199.381 189.348 9,40‰ 1,40 -4,76%"
39,"República Democrática del Congo [+] 2020 40,11‰ 5,72 -1,74%"
40,"República Centroafricana [+] 2020 34,88‰ 4,57 -1,66%"
41,"República del Congo [+] 2020 31,99‰ 4,32 -1,21%"
42,"Suiza [+] 2020 85.914 44.299 41.615 9,90‰ 1,46 -1,35%"
43,"Costa de Marfil [+] 2020 35,17‰ 4,54 -1,24%"
44,"Chile [+] 2020 11,99‰ 1,61 -0,98%"
45,"Camerún [+] 2020 34,42‰ 4,44 -1,40%"
46,"Colombia [+] 2020 649.742 333.299 316.443 14,42‰ 1,77 -1,01%"
47,"Costa Rica [+] 2020 13,40‰ 1,72 -0,92%"
48,"Cuba [+] 2020 9,78‰ 1,59 -0,75%"
49,"Cabo Verde [+] 2020 18,64‰ 2,21 -1,29%"
50,"Chipre [+] 2020 9.930 5.190 4.740 11,10‰ 1,36 2,26%"
51,"Chequia [+] 2020 110.200 56.276 53.924 10,30‰ 1,71 0"
